Time,Pload,Hload,CGbuy,CGsell,CHsell,CHbuy,Rdg1,PGbuy,PGsell,statoc,Bchg,Bdischg,Pdg1,Pdg2,Pchp1,Pchp2,Hhob,Hchp1,Hchp2,HGbuy,HGsell,Hchg,Hdischg,Pevchg1,Pevdischg1,Pevchg2,Pevdischg2,Pevchg3,Pevdischg3,Pevchg4,Pevdischg4,Pevchg5,Pevdischg5
1,169,130,138,128,75,77,0,0,-0,0.2,-0,0,9,0,60,100,0,72,80,-0,-22,-4.05312e-06,-0,-0,0,-0,0,-0,0,-0,0,-0,0
2,175,125,139,129,75,77,0,0,-0,0.8935,-73,0,88,0,60,100,0,72,80,-0,-27,-4.05312e-06,-0,-0,0,-0,0,-0,0,-0,0,-0,0
3,179,120,143,133,75,77,0,0,-0.804681,0.9,-0.684209,0,29,-0,60,100,0,72,80,-0,-32,-4.05312e-06,-0,-8.51111,0,-0,0,-0,0,-0,0,-0,0
4,171,120,149,139,75,77,0,0,-89,0.9,-0,0,100,-0,60,100,0,72,80,-0,-32,-4.05312e-06,-0,-0,0,-0,0,-0,0,-0,0,-0,0
5,181,125,150,140,75,77,0,0,-143.167,0.9,-0,0,100,80,60,100,0,72,80,-0,-27,-4.05312e-06,-0,-0,0,-15.8333,0,-0,0,-0,0,-0,0
6,190,135,152,142,75,77,0,0,-150,0.9,-0,0,100,80,60,100,0,72,80,-0,-17,-4.05312e-06,-0,-0,0,-0,0,-0,0,-0,0,-0,0
7,270,150,155,145,75,77,0,0,-70,0.9,-0,0,100,80,60,100,0,72,80,-0,-2,-4.05312e-06,-0,-0,0,-0,0,4.44089e-16,0,-0,0,-0,0
8,264,160,158,148,75,77,10,0,-86,0.9,-0,0,100,80,60,100,0,72,80,8,-4.05312e-06,0,0,-0,0,-0,0,-0,0,-0,0,-0,0
9,273,175,160,150,80,83,15,0,-82,0.9,-0,0,100,80,60,100,80,72,80,-0,-57,-4.05312e-06,-0,-0,0,-0,0,-0,0,-0,0,-0,0
10,281,190,154,144,80,83,20,0,-76.2356,0.9,-0,0,100,80,60,100,80,72,80,-0,-42,-4.05312e-06,-0,-0,0,-0,0,-12.8444,0,-0,10.08,-0,0
11,300,195,153,143,80,83,23,0,-63,0.9,-0,0,100,80,60,100,80,72,80,-0,-56,-4.05312e-06,19,-0,0,-0,0,-0,0,-0,0,-0,0
12,320,200,153,143,80,83,28,0,-48,0.9,-0,0,100,80,60,100,80,72,80,-0,-32,-4.05312e-06,-0,-0,0,-0,0,-0,0,-0,0,-0,0
13,280,195,152,142,80,83,33,0,-93,0.9,-0,0,100,80,60,100,80,72,80,-0,-37,-4.05312e-06,-0,-0,0,-0,0,-0,0,-0,0,-0,0
14,260,195,150,140,80,83,35,0,-115,0.9,-0,0,100,80,60,100,80,72,80,-0,-37,-4.05312e-06,-0,-0,0,-0,0,-0,0,-0,0,-0,0
15,250,180,149,139,80,83,34,0,-38.2222,0.9,-0,0,100,-0,60,100,80,72,80,-0,-52,-4.05312e-06,-0,-0,0,-0,0,-0,0,-0,0,-5.77778,0
16,200,170,149,139,80,83,31,0,-91,0.9,-0,0,100,-0,60,100,80,72,80,-0,-62,-4.05312e-06,-0,-0,0,-0,0,-0,0,-0,0,-0,0
17,180,185,154,144,80,83,28,0,-188,0.9,-0,0,100,80,60,100,80,72,80,-0,-47,-4.05312e-06,-0,-0,0,-0,0,-0,0,-0,0,-0,0
18,190,190,156,146,80,83,10,0,-160,0.9,-0,0,100,80,60,100,80,72,80,-0,-42,-4.05312e-06,-0,-0,0,-0,0,-0,0,-0,0,-0,0
19,240,195,163,153,78,78,0,0,-100,0.9,-0,0,100,80,60,100,0,72,80,43,-4.05312e-06,0,0,-0,0,-0,0,-0,0,-0,0,-0,0
20,280,200,164,154,78,78,0,0,-126,0.205263,-0,66,100,80,60,100,0,72,80,48,-4.05312e-06,0,0,-0,0,-0,0,-0,0,-0,0,-0,0
21,325,195,164,154,78,78,0,0,-15,0.205263,-0,0,100,80,60,100,0,72,80,43,-4.05312e-06,0,0,-0,0,-0,0,-0,0,-0,0,-0,0
22,350,190,160,150,78,78,0,0,-0,0.1,-0,10,100,80,60,100,0,72,80,38,-4.05312e-06,0,0,-0,0,-0,0,-0,0,-0,0,-0,0
23,300,180,150,140,78,78,0,0,-40,0.1,-0,0,100,80,60,100,0,72,80,28,-4.05312e-06,0,0,-0,0,-0,0,-0,0,-0,0,-0,0
24,250,175,148,138,78,78,0,0,-10,0.1,-0,0,100,-0,60,100,0,72,80,23,-4.05312e-06,0,0,-0,0,-0,0,-0,0,-0,0,-0,0
